company_slug,company,careers_url,ats_platform,email_pattern,email_pattern_status,email_pattern_source,jobs_open_count,top_job_ids,contacts_count,contacts_by_type,referral_coverage,status,last_updated,notes
langchain,LangChain,,,,unknown,,2,li_langchain_research_engineer_langsmith_engine_4453736138;langchain_research_engineer_langsmith_engine_bdc96ffd,0,{},none,active,2026-08-23,
lenovo,Lenovo,,,,unknown,,2,li_lenovo_ai_modeling_specialist_engineer_4440777564;li_lenovo_advisory_ai_prototyping_engineer_4437084478,0,{},none,active,2026-08-23,
lg_electronics_north_america,LG Electronics North America,,,,unknown,,1,li_lg_electronics_north_america_ai_researcher_efficient_ai_contractor_4445210572,0,{},none,active,2026-08-23,
liquid_ai,Liquid AI,,,,unknown,,15,liquid_ai_member_of_technical_staff_ml_research_enginee_ash_liquid-ai_c7251e1b-d;liquid_ai_member_of_technical_staff_post_training_appli_ash_liquid-ai_f898850b-a;liquid_ai_member_of_technical_staff_ml_scientist_japanese_mu_ash_24b6d654;liquid_ai_member_of_technical_staff_applied_ml_japanese_mult_ash_091f16ad;liquid_ai_member_of_technical_staff_post_training_appli_ash_liquid-ai_df917175-f,0,{},none,active,2026-08-23,
livekit,LiveKit,,,,unknown,,2,livekit_research_engineer_reinforcement_learning_b0c02c3f;livekit_software_engineer_agents_1757f49e,0,{},none,active,2026-08-23,
lucas_james_talent_partners,Lucas James Talent Partners,,,,unknown,,1,li_lucas_james_talent_partners_ai_research_engineer_nlp_4445178021,0,{},none,active,2026-08-23,
luma,Luma,,,,unknown,,1,li_luma_research_scientist_engineer_reinforcemen_4445276729,0,{},none,active,2026-08-23,
lyft,Lyft,,,,unknown,,1,li_lyft_staff_applied_scientist_4445643997,0,{},none,active,2026-08-23,
magic_dev,Magic.dev,,,,unknown,,8,magic_dev_member_of_technical_staff_inference_rl_system_ash_magic.dev_427ffdee-d;magic_dev_research_engineer_ash_magic.dev_bcc8d988-4;magic_dev_member_of_technical_staff_rl_research_environ_ash_magic.dev_b8d6a107-3;magic_dev_member_of_technical_staff_security_engineer_ash_magic.dev_f9b3e872-c;magic_dev_member_of_technical_staff_pre_training_system_ash_magic.dev_f1d3988f-f,0,{},none,active,2026-08-23,
microsoft,Microsoft,,,,unknown,,3,li_microsoft_senior_researcher_agentic_ai_microsoft_r_4409906845;li_microsoft_applied_scientist_4456728259;li_microsoft_senior_language_engineer_4446755595,0,{},none,active,2026-08-23,
microsoft_ai,Microsoft AI,,,,unknown,,2,li_microsoft_ai_member_of_technical_staff_post_training_4455972884;li_microsoft_ai_senior_language_engineer_4444173909,0,{},none,active,2026-08-23,
mistral_ai,Mistral AI,,,,unknown,,48,mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d;mistral_ai_research_engineer_code_agents_infra_ash_mistral.ai_af7c3cf8-;mistral_ai_applied_scientist_research_engineer_emea_ash_2ed434c7;mistral_ai_applied_scientist_research_engineer_ai4engineering_ash_556595b2;mistral_ai_applied_ai_forward_deployed_machine_learning_engin_ash_fe76010a,0,{},none,active,2026-08-23,
netskope,Netskope,,,,unknown,,1,netskope_principal_distinguished_engineer_machine_lear_4410708971,0,{},none,active,2026-08-23,
nextgen_federal_systems,NextGen Federal Systems,,,,unknown,,1,li_nextgen_federal_systems_application_agentic_ai_engineer_4428886430,0,{},none,active,2026-08-23,
nous_research,Nous Research,,,,unknown,,1,nous_research_machine_learning_engineer_evals_1e647dc1,0,{},none,active,2026-08-23,
nvidia,NVIDIA,,,,unknown,,1,li_nvidia_senior_research_engineer_autonomous_vehi_4395476249,0,{},none,active,2026-08-23,
openai,OpenAI,,,,unknown,,66,li_openai_research_engineer_codex_4417166196;li_openai_applied_ai_engineer_codex_core_agent_4416739416;li_openai_machine_learning_engineer_integrity_4417159976;li_openai_research_engineer_4417158991;openai_security_researcher_agentic_ai_threats_e0eef869,3,"{""2nd"": 3}",weak,active,2026-08-23,
